student_id,program_course_id,assessment_id,student_score,assessment_total_score
5,5,8,4.25,5
5,5,12,4.25,5
5,5,13,4.25,5
5,5,19,34.00,40
5,6,1,4.70,5
5,6,7,4.70,5
5,6,8,4.70,5
5,6,12,4.70,5
5,6,13,4.70,5
5,6,19,37.60,40
6,1,1,3.15,5
6,1,2,3.15,5
6,1,3,3.15,5
6,1,7,3.15,5
6,1,8,3.15,5
6,1,12,3.15,5
6,1,17,9.45,15
6,1,18,9.45,15
6,1,19,25.20,40
6,2,1,3.20,5
6,2,2,3.20,5
6,2,3,3.20,5
6,2,7,3.20,5
6,2,8,3.20,5
6,2,12,3.20,5
6,2,17,9.60,15
6,2,18,9.60,15
6,2,19,25.60,40
6,5,1,4.10,5
6,5,7,4.10,5
6,5,8,4.10,5
6,5,12,4.10,5
6,5,13,4.10,5
6,5,19,32.80,40
6,6,1,3.00,5
6,6,7,3.00,5
6,6,8,3.00,5
6,6,12,3.00,5
6,6,13,3.00,5
6,6,19,24.00,40
7,1,1,3.45,5
7,1,2,3.45,5
7,1,3,3.45,5
7,1,7,3.45,5
7,1,8,3.45,5
7,1,12,3.45,5
7,1,17,10.35,15
7,1,18,10.35,15
7,1,19,27.60,40
7,2,1,3.75,5
7,2,2,3.75,5
7,2,3,3.75,5
7,2,7,3.75,5
7,2,8,3.75,5
7,2,12,3.75,5
7,2,17,11.25,15
7,2,18,11.25,15
7,2,19,30.00,40
7,5,1,,5
7,5,7,,5
7,5,8,,5
7,5,12,,5
7,5,13,,5
7,5,19,,40
7,6,1,3.80,5
7,6,7,3.80,5
7,6,8,3.80,5
7,6,12,3.80,5
7,6,13,3.80,5
7,6,19,30.40,40
8,1,1,1.20,5
8,1,2,1.20,5
8,1,3,1.20,5
8,1,7,1.20,5
8,1,8,1.20,5
8,1,12,1.20,5
8,1,17,3.60,15
8,1,18,3.60,15
8,1,19,9.60,40
8,2,1,1.95,5
8,2,2,1.95,5
8,2,3,1.95,5
8,2,7,1.95,5
8,2,8,1.95,5
8,2,12,1.95,5
8,2,17,5.85,15
8,2,18,5.85,15
8,2,19,15.60,40
8,5,1,4.95,5
8,5,7,4.95,5
8,5,8,4.95,5
8,5,12,4.95,5
8,5,13,4.95,5
8,5,19,39.60,40
8,6,1,3.95,5
8,6,7,3.95,5
8,6,8,3.95,5
8,6,12,3.95,5
8,6,13,3.95,5
8,6,19,31.60,40
9,1,1,4.05,5
9,1,2,4.05,5
9,1,3,4.05,5
9,1,7,4.05,5
9,1,8,4.05,5
9,1,12,4.05,5
9,1,17,12.15,15
9,1,18,12.15,15
9,1,19,32.40,40
9,2,1,4.25,5
9,2,2,4.25,5
9,2,3,4.25,5
9,2,7,4.25,5
9,2,8,4.25,5
9,2,12,4.25,5
9,2,17,12.75,15
9,2,18,12.75,15
9,2,19,34.00,40
9,5,1,2.15,5
9,5,7,2.15,5
9,5,8,2.15,5
9,5,12,2.15,5
9,5,13,2.15,5
9,5,19,17.20,40
9,6,1,1.90,5
9,6,7,1.90,5
9,6,8,1.90,5
9,6,12,1.90,5
9,6,13,1.90,5
9,6,19,15.20,40
10,1,1,3.65,5
10,1,2,3.65,5
10,1,3,3.65,5
10,1,7,3.65,5
10,1,8,3.65,5
10,1,12,3.65,5
10,1,17,10.95,15
10,1,18,10.95,15
10,1,19,29.20,40
10,2,1,,5
10,2,2,,5
10,2,3,,5
10,2,7,,5
10,2,8,,5
10,2,12,,5
10,2,17,,15
10,2,18,,15
10,2,19,,40
10,5,1,3.65,5
10,5,7,3.65,5
10,5,8,3.65,5
10,5,12,3.65,5
10,5,13,3.65,5
10,5,19,29.20,40
10,6,1,3.25,5
10,6,7,3.25,5
10,6,8,3.25,5
10,6,12,3.25,5
10,6,13,3.25,5
10,6,19,26.00,40
11,1,1,4.60,5
11,1,2,4.60,5
11,1,3,4.60,5
11,1,7,4.60,5
11,1,8,4.60,5
11,1,12,4.60,5
11,1,17,13.80,15
11,1,18,13.80,15
11,1,19,36.80,40
11,2,1,4.10,5
11,2,2,4.10,5
11,2,3,4.10,5
11,2,7,4.10,5
11,2,8,4.10,5
11,2,12,4.10,5
11,2,17,12.30,15
11,2,18,12.30,15
11,2,19,32.80,40
11,5,1,0.75,5
11,5,7,0.75,5
11,5,8,0.75,5
11,5,12,0.75,5
11,5,13,0.75,5
11,5,19,6.00,40
11,6,1,1.40,5
11,6,7,1.40,5
11,6,8,1.40,5
11,6,12,1.40,5
11,6,13,1.40,5
11,6,19,11.20,40
12,1,1,3.30,5
12,1,2,3.30,5
12,1,3,3.30,5
12,1,7,3.30,5
12,1,8,3.30,5
12,1,12,3.30,5
12,1,17,9.90,15
12,1,18,9.90,15
12,1,19,26.40,40
12,2,1,4.40,5
12,2,2,4.40,5
12,2,3,4.40,5
12,2,7,4.40,5
12,2,8,4.40,5
12,2,12,4.40,5
12,2,17,13.20,15
12,2,18,13.20,15
12,2,19,35.20,40
12,5,1,4.10,5
12,5,7,4.10,5
12,5,8,4.10,5
12,5,12,4.10,5
12,5,13,4.10,5
12,5,19,32.80,40
12,6,1,2.30,5
12,6,7,2.30,5
12,6,8,2.30,5
12,6,12,2.30,5
12,6,13,2.30,5
12,6,19,18.40,40
13,1,1,2.75,5
13,1,2,2.75,5
13,1,3,2.75,5
13,1,7,2.75,5
13,1,8,2.75,5
13,1,12,2.75,5
13,1,17,8.25,15
13,1,18,8.25,15
13,1,19,22.00,40
13,2,1,4.20,5
13,2,2,4.20,5
13,2,3,4.20,5
13,2,7,4.20,5
13,2,8,4.20,5
13,2,12,4.20,5
13,2,17,12.60,15
13,2,18,12.60,15
13,2,19,33.60,40
13,5,1,2.45,5
13,5,7,2.45,5
13,5,8,2.45,5
13,5,12,2.45,5
13,5,13,2.45,5
13,5,19,19.60,40
13,6,1,,5
13,6,7,,5
13,6,8,,5
13,6,12,,5
13,6,13,,5
13,6,19,,40
14,1,1,4.30,5
14,1,2,4.30,5
14,1,3,4.30,5
14,1,7,4.30,5
14,1,8,4.30,5
14,1,12,4.30,5
14,1,17,12.90,15
14,1,18,12.90,15
14,1,19,34.40,40
14,2,1,3.50,5
14,2,2,3.50,5
14,2,3,3.50,5
14,2,7,3.50,5
14,2,8,3.50,5
14,2,12,3.50,5
14,2,17,10.50,15
14,2,18,10.50,15
14,2,19,28.00,40
14,5,1,3.45,5
14,5,7,3.45,5
14,5,8,3.45,5
14,5,12,3.45,5
14,5,13,3.45,5
14,5,19,27.60,40
14,6,1,3.20,5
14,6,7,3.20,5
14,6,8,3.20,5
14,6,12,3.20,5
14,6,13,3.20,5
14,6,19,25.60,40
15,1,1,,5
15,1,2,,5
15,1,3,,5
15,1,7,,5
15,1,8,,5
15,1,12,,5
15,1,17,,15
15,1,18,,15
15,1,19,,40
15,2,1,3.20,5
15,2,2,3.20,5
15,2,3,3.20,5
15,2,7,3.20,5
15,2,8,3.20,5
15,2,12,3.20,5
15,2,17,9.60,15
15,2,18,9.60,15
15,2,19,25.60,40
15,5,1,,5
15,5,7,,5
15,5,8,,5
15,5,12,,5
15,5,13,,5
15,5,19,,40
15,6,1,4.05,5
15,6,7,4.05,5
15,6,8,4.05,5
15,6,12,4.05,5
15,6,13,4.05,5
15,6,19,32.40,40
16,1,1,4.55,5
16,1,2,4.55,5
16,1,3,4.55,5
16,1,7,4.55,5
16,1,8,4.55,5
16,1,12,4.55,5
16,1,17,13.65,15
16,1,18,13.65,15
16,1,19,36.40,40
16,2,1,4.00,5
16,2,2,4.00,5
16,2,3,4.00,5
16,2,7,4.00,5
16,2,8,4.00,5
16,2,12,4.00,5
16,2,17,12.00,15
16,2,18,12.00,15
16,2,19,32.00,40
16,5,1,2.15,5
16,5,7,2.15,5
16,5,8,2.15,5
16,5,12,2.15,5
16,5,13,2.15,5
16,5,19,17.20,40
16,6,1,,5
16,6,7,,5
16,6,8,,5
16,6,12,,5
16,6,13,,5
16,6,19,,40
17,1,1,1.85,5
17,1,2,1.85,5
17,1,3,1.85,5
17,1,7,1.85,5
17,1,8,1.85,5
17,1,12,1.85,5
17,1,17,5.55,15
17,1,18,5.55,15
17,1,19,14.80,40
17,2,1,3.25,5
17,2,2,3.25,5
17,2,3,3.25,5
17,2,7,3.25,5
17,2,8,3.25,5
17,2,12,3.25,5
17,2,17,9.75,15
17,2,18,9.75,15
17,2,19,26.00,40
17,5,1,,5
17,5,7,,5
17,5,8,,5
17,5,12,,5
17,5,13,,5
17,5,19,,40
17,6,1,4.10,5
17,6,7,4.10,5
17,6,8,4.10,5
17,6,12,4.10,5
17,6,13,4.10,5
17,6,19,32.80,40
18,1,1,3.60,5
18,1,2,3.60,5
18,1,3,3.60,5
18,1,7,3.60,5
18,1,8,3.60,5
18,1,12,3.60,5
18,1,17,10.80,15
18,1,18,10.80,15
18,1,19,28.80,40
18,2,1,3.00,5
18,2,2,3.00,5
18,2,3,3.00,5
18,2,7,3.00,5
18,2,8,3.00,5
18,2,12,3.00,5
18,2,17,9.00,15
18,2,18,9.00,15
18,2,19,24.00,40
18,5,1,3.25,5
18,5,7,3.25,5
18,5,8,3.25,5
18,5,12,3.25,5
18,5,13,3.25,5
18,5,19,26.00,40
18,6,1,4.65,5
18,6,7,4.65,5
18,6,8,4.65,5
18,6,12,4.65,5
18,6,13,4.65,5
18,6,19,37.20,40
19,1,1,3.95,5
19,1,2,3.95,5
19,1,3,3.95,5
19,1,7,3.95,5
19,1,8,3.95,5
19,1,12,3.95,5
19,1,17,11.85,15
19,1,18,11.85,15
19,1,19,31.60,40
19,2,1,4.65,5
19,2,2,4.65,5
19,2,3,4.65,5
19,2,7,4.65,5
19,2,8,4.65,5
19,2,12,4.65,5
19,2,17,13.95,15
19,2,18,13.95,15
19,2,19,37.20,40
19,5,1,4.45,5
19,5,7,4.45,5
19,5,8,4.45,5
19,5,12,4.45,5
19,5,13,4.45,5
19,5,19,35.60,40
19,6,1,4.15,5
19,6,7,4.15,5
19,6,8,4.15,5
19,6,12,4.15,5
19,6,13,4.15,5
19,6,19,33.20,40
20,1,1,4.55,5
20,1,2,4.55,5
20,1,3,4.55,5
20,1,7,4.55,5
20,1,8,4.55,5
20,1,12,4.55,5
20,1,17,13.65,15
20,1,18,13.65,15
20,1,19,36.40,40
20,2,1,3.80,5
20,2,2,3.80,5
20,2,3,3.80,5
20,2,7,3.80,5
20,2,8,3.80,5
20,2,12,3.80,5
20,2,17,11.40,15
20,2,18,11.40,15
20,2,19,30.40,40
20,5,1,3.55,5
20,5,7,3.55,5
20,5,8,3.55,5
20,5,12,3.55,5
20,5,13,3.55,5
20,5,19,28.40,40
20,6,1,2.80,5
20,6,7,2.80,5
20,6,8,2.80,5
20,6,12,2.80,5
20,6,13,2.80,5
20,6,19,22.40,40
21,1,1,3.15,5
21,1,2,3.15,5
21,1,3,3.15,5
21,1,7,3.15,5
21,1,8,3.15,5
21,1,12,3.15,5
21,1,17,9.45,15
21,1,18,9.45,15
21,1,19,25.20,40
21,2,1,3.05,5
21,2,2,3.05,5
21,2,3,3.05,5
21,2,7,3.05,5
21,2,8,3.05,5
21,2,12,3.05,5
21,2,17,9.15,15
21,2,18,9.15,15
21,2,19,24.40,40
21,5,1,3.85,5
21,5,7,3.85,5
21,5,8,3.85,5
21,5,12,3.85,5
21,5,13,3.85,5
21,5,19,30.80,40
21,6,1,3.30,5
21,6,7,3.30,5
21,6,8,3.30,5
21,6,12,3.30,5
21,6,13,3.30,5
21,6,19,26.40,40
22,1,1,3.65,5
22,1,2,3.65,5
22,1,3,3.65,5
22,1,7,3.65,5
22,1,8,3.65,5
22,1,12,3.65,5
22,1,17,10.95,15
22,1,18,10.95,15
22,1,19,29.20,40
22,2,1,,5
22,2,2,,5
22,2,3,,5
22,2,7,,5
22,2,8,,5
22,2,12,,5
22,2,17,,15
22,2,18,,15
22,2,19,,40
22,5,1,3.05,5
22,5,7,3.05,5
22,5,8,3.05,5
22,5,12,3.05,5
22,5,13,3.05,5
22,5,19,24.40,40
22,6,1,,5
22,6,7,,5
22,6,8,,5
22,6,12,,5
22,6,13,,5
22,6,19,,40
23,1,1,3.70,5
23,1,2,3.70,5
23,1,3,3.70,5
23,1,7,3.70,5
23,1,8,3.70,5
23,1,12,3.70,5
23,1,17,11.10,15
23,1,18,11.10,15
23,1,19,29.60,40
23,2,1,2.45,5
23,2,2,2.45,5
23,2,3,2.45,5
23,2,7,2.45,5
23,2,8,2.45,5
23,2,12,2.45,5
23,2,17,7.35,15
23,2,18,7.35,15
23,2,19,19.60,40
23,5,1,4.45,5
23,5,7,4.45,5
23,5,8,4.45,5
23,5,12,4.45,5
23,5,13,4.45,5
23,5,19,35.60,40
23,6,1,,5
23,6,7,,5
23,6,8,,5
23,6,12,,5
23,6,13,,5
23,6,19,,40
24,1,1,,5
24,1,2,,5
24,1,3,,5
24,1,7,,5
24,1,8,,5
24,1,12,,5
24,1,17,,15
24,1,18,,15
24,1,19,,40
24,2,1,1.90,5
24,2,2,1.90,5
24,2,3,1.90,5
24,2,7,1.90,5
24,2,8,1.90,5
24,2,12,1.90,5
24,2,17,5.70,15
24,2,18,5.70,15
24,2,19,15.20,40
24,5,1,3.85,5
24,5,7,3.85,5
24,5,8,3.85,5
24,5,12,3.85,5
24,5,13,3.85,5
24,5,19,30.80,40
24,6,1,3.20,5
24,6,7,3.20,5
24,6,8,3.20,5
24,6,12,3.20,5
24,6,13,3.20,5
24,6,19,25.60,40
25,1,1,0.70,5
25,1,2,0.70,5
25,1,3,0.70,5
25,1,7,0.70,5
25,1,8,0.70,5
25,1,12,0.70,5
25,1,17,2.10,15
25,1,18,2.10,15
25,1,19,5.60,40
25,2,1,0.65,5
25,2,2,0.65,5
25,2,3,0.65,5
25,2,7,0.65,5
25,2,8,0.65,5
25,2,12,0.65,5
25,2,17,1.95,15
25,2,18,1.95,15
25,2,19,5.20,40
25,5,1,3.30,5
25,5,7,3.30,5
25,5,8,3.30,5
25,5,12,3.30,5
25,5,13,3.30,5
25,5,19,26.40,40
25,6,1,,5
25,6,7,,5
25,6,8,,5
25,6,12,,5
25,6,13,,5
25,6,19,,40
26,1,1,2.50,5
26,1,2,2.50,5
26,1,3,2.50,5
26,1,7,2.50,5
26,1,8,2.50,5
26,1,12,2.50,5
26,1,17,7.50,15
26,1,18,7.50,15
26,1,19,20.00,40
26,2,1,2.70,5
26,2,2,2.70,5
26,2,3,2.70,5
26,2,7,2.70,5
26,2,8,2.70,5
26,2,12,2.70,5
26,2,17,8.10,15
26,2,18,8.10,15
26,2,19,21.60,40
26,5,1,4.15,5
26,5,7,4.15,5
26,5,8,4.15,5
26,5,12,4.15,5
26,5,13,4.15,5
26,5,19,33.20,40
26,6,1,4.10,5
26,6,7,4.10,5
26,6,8,4.10,5
26,6,12,4.10,5
26,6,13,4.10,5
26,6,19,32.80,40
27,1,1,4.35,5
27,1,2,4.35,5
27,1,3,4.35,5
27,1,7,4.35,5
27,1,8,4.35,5
27,1,12,4.35,5
27,1,17,13.05,15
27,1,18,13.05,15
27,1,19,34.80,40
27,2,1,2.50,5
27,2,2,2.50,5
27,2,3,2.50,5
27,2,7,2.50,5
27,2,8,2.50,5
27,2,12,2.50,5
27,2,17,7.50,15
27,2,18,7.50,15
27,2,19,20.00,40
27,5,1,,5
27,5,7,,5
27,5,8,,5
27,5,12,,5
27,5,13,,5
27,5,19,,40
27,6,1,,5
27,6,7,,5
27,6,8,,5
27,6,12,,5
27,6,13,,5
27,6,19,,40
28,1,1,2.85,5
28,1,2,2.85,5
28,1,3,2.85,5
28,1,7,2.85,5
28,1,8,2.85,5
28,1,12,2.85,5
28,1,17,8.55,15
28,1,18,8.55,15
28,1,19,22.80,40
28,2,1,3.05,5
28,2,2,3.05,5
28,2,3,3.05,5
28,2,7,3.05,5
28,2,8,3.05,5
28,2,12,3.05,5
28,2,17,9.15,15
28,2,18,9.15,15
28,2,19,24.40,40
28,5,1,2.85,5
28,5,7,2.85,5
28,5,8,2.85,5
28,5,12,2.85,5
28,5,13,2.85,5
28,5,19,22.80,40
28,6,1,3.10,5
28,6,7,3.10,5
28,6,8,3.10,5
28,6,12,3.10,5
28,6,13,3.10,5
28,6,19,24.80,40
29,1,1,3.65,5
29,1,2,3.65,5
29,1,3,3.65,5
29,1,7,3.65,5
29,1,8,3.65,5
29,1,12,3.65,5
29,1,17,10.95,15
29,1,18,10.95,15
29,1,19,29.20,40
29,2,1,4.10,5
29,2,2,4.10,5
29,2,3,4.10,5
29,2,7,4.10,5
29,2,8,4.10,5
29,2,12,4.10,5
29,2,17,12.30,15
29,2,18,12.30,15
29,2,19,32.80,40
29,5,1,3.25,5
29,5,7,3.25,5
29,5,8,3.25,5
29,5,12,3.25,5
29,5,13,3.25,5
29,5,19,26.00,40
29,6,1,2.80,5
29,6,7,2.80,5
29,6,8,2.80,5
29,6,12,2.80,5
29,6,13,2.80,5
29,6,19,22.40,40
30,1,1,2.00,5
30,1,2,2.00,5
30,1,3,2.00,5
30,1,7,2.00,5
30,1,8,2.00,5
30,1,12,2.00,5
30,1,17,6.00,15
30,1,18,6.00,15
30,1,19,16.00,40
30,2,1,4.55,5
30,2,2,4.55,5
30,2,3,4.55,5
30,2,7,4.55,5
30,2,8,4.55,5
30,2,12,4.55,5
30,2,17,13.65,15
30,2,18,13.65,15
30,2,19,36.40,40
30,5,1,4.55,5
30,5,7,4.55,5
30,5,8,4.55,5
30,5,12,4.55,5
30,5,13,4.55,5
30,5,19,36.40,40
30,6,1,3.10,5
30,6,7,3.10,5
30,6,8,3.10,5
30,6,12,3.10,5
30,6,13,3.10,5
30,6,19,24.80,40
31,1,1,4.90,5
31,1,2,4.90,5
31,1,3,4.90,5
31,1,7,4.90,5
31,1,8,4.90,5
31,1,12,4.90,5
31,1,17,14.70,15
31,1,18,14.70,15
31,1,19,39.20,40
31,2,1,2.70,5
31,2,2,2.70,5
31,2,3,2.70,5
31,2,7,2.70,5
31,2,8,2.70,5
31,2,12,2.70,5
31,2,17,8.10,15
31,2,18,8.10,15
31,2,19,21.60,40
31,5,1,3.20,5
31,5,7,3.20,5
31,5,8,3.20,5
31,5,12,3.20,5
31,5,13,3.20,5
31,5,19,25.60,40
31,6,1,2.85,5
31,6,7,2.85,5
31,6,8,2.85,5
31,6,12,2.85,5
31,6,13,2.85,5
31,6,19,22.80,40
32,1,1,2.60,5
32,1,2,2.60,5
32,1,3,2.60,5
32,1,7,2.60,5
32,1,8,2.60,5
32,1,12,2.60,5
32,1,17,7.80,15
32,1,18,7.80,15
32,1,19,20.80,40
32,2,1,3.70,5
32,2,2,3.70,5
32,2,3,3.70,5
32,2,7,3.70,5
32,2,8,3.70,5
32,2,12,3.70,5
32,2,17,11.10,15
32,2,18,11.10,15
32,2,19,29.60,40
32,5,1,4.30,5
32,5,7,4.30,5
32,5,8,4.30,5
32,5,12,4.30,5
32,5,13,4.30,5
32,5,19,34.40,40
32,6,1,2.10,5
32,6,7,2.10,5
32,6,8,2.10,5
32,6,12,2.10,5
32,6,13,2.10,5
32,6,19,16.80,40
33,1,1,2.75,5
33,1,2,2.75,5
33,1,3,2.75,5
33,1,7,2.75,5
33,1,8,2.75,5
33,1,12,2.75,5
33,1,17,8.25,15
33,1,18,8.25,15
33,1,19,22.00,40
33,2,1,3.80,5
33,2,2,3.80,5
33,2,3,3.80,5
33,2,7,3.80,5
33,2,8,3.80,5
33,2,12,3.80,5
33,2,17,11.40,15
33,2,18,11.40,15
33,2,19,30.40,40
33,5,1,2.55,5
33,5,7,2.55,5
33,5,8,2.55,5
33,5,12,2.55,5
33,5,13,2.55,5
33,5,19,20.40,40
33,6,1,3.80,5
33,6,7,3.80,5
33,6,8,3.80,5
33,6,12,3.80,5
33,6,13,3.80,5
33,6,19,30.40,40
34,1,1,2.80,5
34,1,2,2.80,5
34,1,3,2.80,5
34,1,7,2.80,5
34,1,8,2.80,5
34,1,12,2.80,5
34,1,17,8.40,15
34,1,18,8.40,15
34,1,19,22.40,40
34,2,1,2.50,5
34,2,2,2.50,5
34,2,3,2.50,5
34,2,7,2.50,5
34,2,8,2.50,5
34,2,12,2.50,5
34,2,17,7.50,15
34,2,18,7.50,15
34,2,19,20.00,40
34,5,1,1.20,5
34,5,7,1.20,5
34,5,8,1.20,5
34,5,12,1.20,5
34,5,13,1.20,5
34,5,19,9.60,40
34,6,1,3.45,5
34,6,7,3.45,5
34,6,8,3.45,5
34,6,12,3.45,5
34,6,13,3.45,5
34,6,19,27.60,40
35,1,1,3.70,5
35,1,2,3.70,5
35,1,3,3.70,5
35,1,7,3.70,5
35,1,8,3.70,5
35,1,12,3.70,5
35,1,17,11.10,15
35,1,18,11.10,15
35,1,19,29.60,40
35,2,1,,5
35,2,2,,5
35,2,3,,5
35,2,7,,5
35,2,8,,5
35,2,12,,5
35,2,17,,15
35,2,18,,15
35,2,19,,40
35,5,1,4.65,5
35,5,7,4.65,5
35,5,8,4.65,5
35,5,12,4.65,5
35,5,13,4.65,5
35,5,19,37.20,40
35,6,1,4.95,5
35,6,7,4.95,5
35,6,8,4.95,5
35,6,12,4.95,5
35,6,13,4.95,5
35,6,19,39.60,40
36,1,1,,5
36,1,2,,5
36,1,3,,5
36,1,7,,5
36,1,8,,5
36,1,12,,5
36,1,17,,15
36,1,18,,15
36,1,19,,40
36,2,1,4.00,5
36,2,2,4.00,5
36,2,3,4.00,5
36,2,7,4.00,5
36,2,8,4.00,5
36,2,12,4.00,5
36,2,17,12.00,15
36,2,18,12.00,15
36,2,19,32.00,40
36,5,1,2.90,5
36,5,7,2.90,5
36,5,8,2.90,5
36,5,12,2.90,5
36,5,13,2.90,5
36,5,19,23.20,40
36,6,1,2.90,5
36,6,7,2.90,5
36,6,8,2.90,5
36,6,12,2.90,5
36,6,13,2.90,5
36,6,19,23.20,40
37,1,1,3.75,5
37,1,2,3.75,5
37,1,3,3.75,5
37,1,7,3.75,5
37,1,8,3.75,5
37,1,12,3.75,5
37,1,17,11.25,15
37,1,18,11.25,15
37,1,19,30.00,40
37,2,1,4.60,5
37,2,2,4.60,5
37,2,3,4.60,5
37,2,7,4.60,5
37,2,8,4.60,5
37,2,12,4.60,5
37,2,17,13.80,15
37,2,18,13.80,15
37,2,19,36.80,40
37,5,1,3.90,5
37,5,7,3.90,5
37,5,8,3.90,5
37,5,12,3.90,5
37,5,13,3.90,5
37,5,19,31.20,40
37,6,1,2.35,5
37,6,7,2.35,5
37,6,8,2.35,5
37,6,12,2.35,5
37,6,13,2.35,5
37,6,19,18.80,40
38,1,1,4.95,5
38,1,2,4.95,5
38,1,3,4.95,5
38,1,7,4.95,5
38,1,8,4.95,5
38,1,12,4.95,5
38,1,17,14.85,15
38,1,18,14.85,15
38,1,19,39.60,40
38,2,1,4.65,5
38,2,2,4.65,5
38,2,3,4.65,5
38,2,7,4.65,5
38,2,8,4.65,5
38,2,12,4.65,5
38,2,17,13.95,15
38,2,18,13.95,15
38,2,19,37.20,40
38,5,1,4.30,5
38,5,7,4.30,5
38,5,8,4.30,5
38,5,12,4.30,5
38,5,13,4.30,5
38,5,19,34.40,40
38,6,1,,5
38,6,7,,5
38,6,8,,5
38,6,12,,5
38,6,13,,5
38,6,19,,40
39,1,1,4.80,5
39,1,2,4.80,5
39,1,3,4.80,5
39,1,7,4.80,5
39,1,8,4.80,5
39,1,12,4.80,5
39,1,17,14.40,15
39,1,18,14.40,15
39,1,19,38.40,40
39,2,1,2.45,5
39,2,2,2.45,5
39,2,3,2.45,5
39,2,7,2.45,5
39,2,8,2.45,5
39,2,12,2.45,5
39,2,17,7.35,15
39,2,18,7.35,15
39,2,19,19.60,40
39,5,1,4.70,5
39,5,7,4.70,5
39,5,8,4.70,5
39,5,12,4.70,5
39,5,13,4.70,5
39,5,19,37.60,40
39,6,1,2.55,5
39,6,7,2.55,5
39,6,8,2.55,5
39,6,12,2.55,5
39,6,13,2.55,5
39,6,19,20.40,40
40,1,1,4.60,5
40,1,2,4.60,5
40,1,3,4.60,5
40,1,7,4.60,5
40,1,8,4.60,5
40,1,12,4.60,5
40,1,17,13.80,15
40,1,18,13.80,15
40,1,19,36.80,40
40,2,1,4.85,5
40,2,2,4.85,5
40,2,3,4.85,5
40,2,7,4.85,5
40,2,8,4.85,5
40,2,12,4.85,5
40,2,17,14.55,15
40,2,18,14.55,15
40,2,19,38.80,40
40,5,1,3.65,5
40,5,7,3.65,5
40,5,8,3.65,5
40,5,12,3.65,5
40,5,13,3.65,5
40,5,19,29.20,40
